Title,Author,Publication Year,Screening Status,Inclusion Probability
Assay of succinate dehydrogenase activity by the tetrazolium method: evaluation of an improved technique in skeletal muscle fractions.,"Green, J D",1980,Included,0.97
Isolation and Characterization of Concanavalin A-labeled Plasma Membranes of Carrot Protoplasts.,"Boss, W F",1979,Included,0.93
A rapid method for the isolation of intact mitochondria from isolated rat liver cells.,"Gellerfors, P",1979,Included,0.99
The isolation of coupled mitochondria from Physarum polycephalum and their response to Ca2+.,"Holmes, R P",1979,Included,0.98
A high-yield preparative method for isolation of rat liver mitochondria.,"Bustamante, E",1977,Included,0.99
Isolation of mitochondria and mitochondrial RNA from Crithidia fasciculata.,"Nichols, J M",1977,Included,0.99
Improved method for isolation of mitochondria from chick breast muscle using Nagarse.,"Thakar, J H",1975,Included,0.98
Mitochondria and peroxisomes from the cellular slime mould Dictyostelium discoideum. Isolation techniques and urate oxidase association with peroxisomes.,"Parish, R W",1975,Included,0.99
Rapid isolation techniques for mitochondria: technique for rat liver mitochondria.,"Guerra, F C",1974,Included,0.98
An improved technique for the isolation of mitochondria from plant tissue.,"Haard, N F",1968,Included,0.99
"A method for isolating intact mitochondria and nuclei from the same homogenate, and the influence of mitochondrial destruction on the properties of cell nuclei.","DOUNCE, A L",1955,Included,0.98
"A novel, simple and rapid method for the isolation of mitochondria which exhibit respiratory control, from rat small intestinal mucosa.","Lawrence, C B",1986,Included,0.99
New technique for the isolation of functional rat pancreatic mitochondria and its application to models of pancreatic injury.,"Wilson, J S",1986,Included,0.99
The isolation and properties of mitochondria from rat pancreas.,"Wilson, J S",1984,Included,0.98
Mitochondria from the hepatopancreas of the marine clam Mercenaria mercenaria: substrate preferences and salt and pH effects on the oxidation of palmitoyl-L-carnitine and succinate.,"Ballantyne, J S",1984,Included,0.98
Isolation of mitochondria from ascites tumor cells permeabilized with digitonin.,"Moreadith, R W",1984,Included,0.99
Characterization of growth plate mitochondria.,"Stambough, J L",1984,Included,0.99
"An improved method for isolation of mitochondria in high yields from normal, ischemic, and autolyzed rat hearts.","Idell-Wenger, J A",1982,Included,0.99
Tightly coupled mitochondria from human early placenta.,"Zołnierowicz, S",1982,Included,0.98
Use of Percoll gradients for isolation of human placenta mitochondria suitable for investigating outer membrane proteins.,"Gasnier, F",1993,Included,0.98
Isolation and some biochemical properties of porcine pancreas mitochondria.,"Sakai, Y",1992,Included,0.99
Rapid isolation of metabolically active mitochondria from rat brain and subregions using Percoll density gradient centrifugation.,"Sims, N R",1990,Included,0.98
Isolation and bioenergetic characterization of mitochondria from Pichia pastoris.,"González-Barroso, M Mar",2006,Included,0.99
Isolation of mitochondria with high respiratory control from primary cultures of neurons and astrocytes using nitrogen cavitation.,"Kristián, Tibor",2006,Included,0.99
A microcalorimetric study of the effect of La3+ on mitochondria isolated from Star-Cross 288 chicken liver tissue cells.,"Yi, L",2001,Included,0.97
A method for the isolation of tegument syncytium mitochondria from Taenia crassiceps cysticerci and partial characterization of their aerobic metabolism.,"del Arenal Mena, I P",1998,Included,0.99
Optimization of preparation of mitochondria from 25-100 mg skeletal muscle.,"Rasmussen, H N",1997,Included,0.99
Isolation of rat adrenocortical mitochondria.,"Solinas, Paola",2012,Included,0.98
Magnetic nanoparticles: an improved method for mitochondrial isolation.,"Tang, Bo",2012,Included,0.98
Isolation of brain mitochondria from neonatal mice.,"Wang, Xiaoyang",2011,Included,0.99
Isolation and functional assessment of mitochondria from small amounts of mouse brain tissue.,"Chinopoulos, Christos",2011,Included,0.99
Mitochondrial structure and function are disrupted by standard isolation methods.,"Picard, Martin",2011,Included,0.99
Mitochondrial isolation from skeletal muscle.,"Garcia-Cazarin, Mary L",2011,Included,0.99
Genome-wide analysis of RNA extracted from isolated mitochondria.,"Eliyahu, Erez",2011,Included,0.99
Preparation of highly coupled rat heart mitochondria.,"Gostimskaya, Irina",2010,Included,0.97
Simultaneous isolation of pure and intact chloroplasts and mitochondria from moss as the basis for sub-cellular proteomics.,"Lang, Erika G E",2011,Included,0.99
Isolation of mitochondria from the CNS.,"Kristian, Tibor",2010,Included,0.99
Isolation of mitochondria for biogenetical studies: An update.,"Fernández-Vizarra, Erika",2010,Included,0.99
A critical comparison between two classical and a kit-based method for mitochondria isolation.,"Hartwig, Sonja",2009,Included,0.99
Isolation of functional pure mitochondria by superparamagnetic microbeads.,"Hornig-Do, Hue-Tran",2009,Included,0.99
"Isolation of intact, functional mitochondria from the model plant Arabidopsis thaliana.","Sweetlove, Lee J",2007,Included,0.99
Isolation of mitochondria from procyclic Trypanosoma brucei.,"Schneider, André",2007,Included,0.99
A mitosome purification protocol based on percoll density gradients and its use in validating the mitosomal nature of Entamoeba histolytica mitochondrial Hsp70.,"Tovar, Jorge",2007,Included,0.96
[An efficient method for isolation of mitochondrial DNA in wheat].,"Li, Wen-Qiang",2007,Included,0.98
"Organelle isolation: functional mitochondria from mouse liver, muscle and cultured fibroblasts.","Frezza, Christian",2007,Included,0.99
Isolation of Intact Mitochondria from Skeletal Muscle by Differential Centrifugation for High-resolution Respirometry Measurements.,"Djafarzadeh, Siamak",2017,Included,0.99
"Mouse Liver Mitochondria Isolation, Size Fractionation, and Real-time MOMP Measurement.","Renault, Thibaud T",2016,Included,0.98
Comparison of three methods for mitochondria isolation from the human liver cell line (HepG2).,"Azimzadeh, Pedram",2016,Included,0.99
Purity matters: A workflow for the valid high-resolution lipid profiling of mitochondria from cell culture samples.,"Kappler, Lisa",2016,Included,0.99
Isolation of functionally active and highly purified neuronal mitochondria from human cortex.,"Khattar, Nicolas K",2016,Included,0.99
An improved method with a wider applicability to isolate plant mitochondria for mtDNA extraction.,"Ahmed, Zaheer",2015,Included,0.98
Isolation of Mitochondria from Minimal Quantities of Mouse Skeletal Muscle for High Throughput Microplate Respiratory Measurements.,"Boutagy, Nabil E",2015,Included,0.99
Scalable Isolation of Mammalian Mitochondria for Nucleic Acid and Nucleoid Analysis.,"Lee, Ken-Wing",2016,Included,0.99
"Isolation of mitochondria by gentle cell membrane disruption, and their subsequent characterization.","Shibata, Takahiro",2015,Included,0.99
Isolation and functional analysis of mitochondria from cultured cells and mouse tissue.,"Lampl, Thomas",2015,Included,0.99
Isolation of mitochondria from cultured cells and liver tissue biopsies for molecular and biochemical analyses.,"Schmitt, Sabine",2015,Included,0.99
Isolation and quality control of functional mitochondria.,"Hartwig, Sonja",2015,Included,0.99
Optimal isolation of mitochondria for proteomic analyses.,"Stimpson, Scott E",2015,Included,0.99
Isolation of mitochondria from animal tissue.,"Clayton, David A",2014,Included,0.99
Isolation of mitochondria from tissue culture cells.,"Clayton, David A",2014,Included,0.99
Rapid isolation and purification of mitochondria for transplantation by tissue dissociation and differential filtration.,"Preble, Janine M",2014,Included,0.99
Efficient isolation of pure and functional mitochondria from mouse tissues using automated tissue disruption and enrichment with anti-TOM22 magnetic beads.,"Franko, Andras",2013,Included,0.98
Mitochondrial Isolation and Purification from Mouse Spinal Cord.,"Parone, Philippe A",2013,Included,0.99
A semi-automated method for isolating functionally intact mitochondria from cultured cells and tissue biopsies.,"Schmitt, Sabine",2013,Included,0.99
Rapid isolation and purification of functional platelet mitochondria using a discontinuous Percoll gradient.,"Léger, Jacob L",2020,Included,0.99
An Improved Method for Preparation of Uniform and Functional Mitochondria from Fresh Liver.,"Farah, Nagham Khouri",2019,Included,0.99
Mitochondrial Isolation and Real-Time Monitoring of MOMP.,"Luna-Vargas, Mark P A",2019,Included,0.99
Isolation of mitochondrial subpopulations from skeletal muscle: Optimizing recovery and preserving integrity.,"Lai, Nicola",2019,Included,0.98
"Isolation of Large Amounts of Highly Pure Mitochondria for ""Omics"" Studies.","Afanasyeva, M A",2018,Included,0.99
Isolation and Respiratory Measurements of Mitochondria from Arabidopsis thaliana.,"Lyu, Wenhui",2018,Included,0.99
Isolation and Structural Studies of Mitochondria from Pea Roots.,"Vishwakarma, Abhaypratap",2017,Included,0.99
Isolation of Physiologically Active and Intact Mitochondria from Chickpea.,"Pandey, Sonika",2017,Included,0.97
Rapid Affinity Purification of Tagged Plant Mitochondria (Mito-AP).,"Niehaus, Markus",2022,Included,0.98
Measurement of mitochondrial respiratory chain enzymatic activities in Drosophila melanogaster samples.,"Brischigliaro, Michele",2022,Included,0.95
Gel-Based and Gel-Free Phosphoproteomics to Measure and Characterize Mitochondrial Phosphoproteins.,"Thongboonkerd, Visith",2022,Included,0.96
Isolation of Mitochondria from Mouse Skeletal Muscle for Respirometric Assays.,"Hernández-Camacho, Juan Diego",2022,Included,0.98
Isolation of Mitochondria from Ustilago maydis Protoplasts.,"Pardo, Juan Pablo",2022,Included,0.99
Mitochondrial Respiration of Platelets: Comparison of Isolation Methods.,"Vernerova, Andrea",2021,Included,0.99
Isolation and Measurement of Respiration and Structural Studies of Purified Mitochondria from Heterotrophic Plant Tissues.,"Pandey, Sonika",2021,Included,0.99
Isolation of Mitochondria From Fresh Mice Lung Tissue.,"Caldeira, Dayene de Assis Fernandes",2021,Included,0.99
Isolation and reconstruction of cardiac mitochondria from SBEM images using a deep learning-based method.,"Hatano, Asuka",2022,Included,0.96
Isolation of Mitochondria from Fusarium Species.,"MacKillop, Michael C",2022,Included,0.99
"Isolation of Highly Purified, Intact, and Functional Mitochondria from Potato Tubers Using a Two-in-One Percoll Density Gradient.","Møller, Ian Max",2022,Included,0.99
Isolation of Plant Mitochondria Using Affinity Purification.,"Kuhnert, Franziska",2022,Included,0.99
Cell Type-Specific Isolation of Mitochondria in Arabidopsis.,"Boussardon, Clément",2022,Included,0.99
Qualitative Characterization of the Rat Liver Mitochondrial Lipidome Using All Ion Fragmentation on an Exactive Benchtop Orbitrap MS.,"Stavrovskaya, Irina G",2021,Included,0.97
An Update on Isolation of Functional Mitochondria from Cells for Bioenergetics Studies.,"Lebiedzinska-Arciszewska, Magdalena",2021,Included,0.99
Isolation and Electron Microscopic Analysis of Liver Cancer Cell Mitochondria.,"Kabiri, Yaschar",2021,Included,0.99
Purification of Functional Platelet Mitochondria Using a Discontinuous Percoll Gradient.,"Léger, Jacob L",2021,Included,0.98
Isolation and comparative proteomic analysis of mitochondria from the pulp of ripening citrus fruit.,"Li, Xin",2021,Included,0.99
Isolation and Purification of Mitochondria from Cell Culture for Proteomic Analyses.,"Kabiri, Yaschar",2021,Included,0.99
A simplified method to isolate rice mitochondria.,"Xu, Yanghong",2020,Included,0.99
Isolation and Metabolic Assessment of Cancer Cell Mitochondria.,"Long, Nguyen Phuoc",2020,Included,0.99
"REAP+: A single preparation for rapid isolation of nuclei, cytoplasm, and mitochondria.","Dos Santos, Barbara",2024,Included,0.96
Impact of platelet activation on the release of cell-free mitochondria and circulating mitochondrial DNA.,"Roch, Benoit",2024,Included,0.96
Aging-induced mitochondrial dysfunction: two distinct populations of mitochondria versus a combined population.,"Chen, Qun",2024,Included,0.99
Mitochondria isolated from lipid droplets of white adipose tissue reveal functional differences based on lipid droplet size.,"Brownstein, Alexandra J",2024,Included,0.99
Mitochondrial bioenergetics and cytometric characterization of a synaptosomal preparation from mouse brain cortex.,"Lombardi, Paulina",2023,Included,0.97
Purification of functional mouse skeletal muscle mitochondria using percoll density gradient centrifugation.,"Anunciado-Koza, Rea Victoria P",2023,Included,0.99
Optimization of differential filtration-based mitochondrial isolation for mitochondrial transplant to cerebral organoids.,"Bodenstein, David F",2023,Included,0.99
Purification of functional mouse skeletal muscle mitochondria using Percoll density gradient centrifugation.,"Anunciado-Koza, Rea Victoria P",2023,Included,0.99
"Effects of mitochondria on postmortem meat quality: characteristic, isolation, energy metabolism, apoptosis and oxygen consumption.","Zou, Bo",2023,Included,0.99
Preparation of physiologically active inside-out vesicles from plant inner mitochondrial membranes.,"Ehmke, Leander",2023,Included,0.98
Two-Step Tag-Free Isolation of Mitochondria for Improved Protein Discovery and Quantification.,"Blanco-Fernandez, Joan",2023,Included,0.99
Ex vivo immunocapture and functional characterization of cell-type-specific mitochondria using MitoTag mice.,"de Mello, Natalia Prudente",2023,Included,0.99
Isolation of Mitochondria from Mouse Tissues for Functional Analysis.,"Acín-Pérez, Rebeca",2023,Included,0.99
Rapid isolation of respiring skeletal muscle mitochondria using nitrogen cavitation.,"Younis, Awais Z",2023,Included,0.98
Protocol for mitochondrial isolation and sub-cellular localization assay for mitochondrial proteins.,"Zhou, Danyi",2023,Included,0.99
"Isolating Mitochondria, Mitoplasts, and mtDNA from Cultured Mammalian Cells.","Menger, Katja E",2023,Included,0.99
Isolation of Functional Mitochondria and Pure mtDNA from Murine Tissues.,"Rozsivalova, Dieu Hien",2023,Included,0.99
Delivery of mitochondria confers cardioprotection through mitochondria replenishment and metabolic compliance.,"Zhang, Alian",2023,Included,0.96
Affordable de novo generation of fish mitogenomes using amplification-free enrichment of mitochondrial DNA and deep sequencing of long fragments.,"Ramón-Laca, Ana",2023,Included,0.98
Preservation of mitochondrial functional integrity in mitochondria isolated from small cryopreserved mouse brain areas.,"Valenti, Daniela",2014,Included,0.99
Isolation of functional mitochondria from rat kidney and skeletal muscle without manual homogenization.,"Gross, Vera S",2011,Included,0.99